Station:Prince George Plaza 400 -  , Date Time                 , PM25    
 ,                           , ug/m3   
 , 1/16/2018 10:00 PM        , 31.1    
 , 1/16/2018 11:00 PM        , 22.5    
 , 1/16/2018 24:00 AM        , 19.4    
 , 1/17/2018 1:00 AM         , 10.0    
 , 1/17/2018 2:00 AM         , 4.5     
 , 1/17/2018 3:00 AM         , 3.8     
 , 1/17/2018 4:00 AM         , 8.4     
 , 1/17/2018 5:00 AM         , 11.8    
 , 1/17/2018 6:00 AM         , 19.0    
 , 1/17/2018 7:00 AM         ,         
 , 1/17/2018 8:00 AM         , 13.6    
 , 1/17/2018 9:00 AM         , 11.4    
 , 1/17/2018 10:00 AM        , 10.4    
 , 1/17/2018 11:00 AM        , 17.9    
 , 1/17/2018 12:00 PM        , 13.7    
 , 1/17/2018 1:00 PM         , 18.4    
 , 1/17/2018 2:00 PM         , 17.5    
 , 1/17/2018 3:00 PM         ,         
 , 1/17/2018 4:00 PM         , 22.0    
 , 1/17/2018 5:00 PM         , 15.5    
 , 1/17/2018 6:00 PM         , 13.6    
 , 1/17/2018 7:00 PM         , 20.0    
 , 1/17/2018 8:00 PM         , 22.4    
 , 1/17/2018 9:00 PM         , 21.4    
 , 1/17/2018 10:00 PM        , 20.1    
 , 1/17/2018 11:00 PM        , 21.1    
 , 1/17/2018 24:00 AM        , 5.1     
 , 1/18/2018 1:00 AM         , 2.0     
 , 1/18/2018 2:00 AM         , 11.5    
 , 1/18/2018 3:00 AM         , 20.9    
 , 1/18/2018 4:00 AM         , 25.8    
 , 1/18/2018 5:00 AM         , 20.0    
 , 1/18/2018 6:00 AM         , 0.2     
 , 1/18/2018 7:00 AM         , 0.4     
 , 1/18/2018 8:00 AM         , 1.0     
 , 1/18/2018 9:00 AM         , 1.3     
 , 1/18/2018 10:00 AM        , 0.8     
 , 1/18/2018 11:00 AM        , 0.7     
 , 1/18/2018 12:00 PM        , 0.7     
 , 1/18/2018 1:00 PM         , 0.5     
 , 1/18/2018 2:00 PM         , 0.9     
 , 1/18/2018 3:00 PM         , 1.2     
 , 1/18/2018 4:00 PM         , 0.7     
 , 1/18/2018 5:00 PM         , 2.0     
 , 1/18/2018 6:00 PM         , 3.3     
 , 1/18/2018 7:00 PM         , 2.6     
 , 1/18/2018 8:00 PM         , 3.4     
 , 1/18/2018 9:00 PM         , 4.3     
 , 1/18/2018 10:00 PM        , 3.2     
 , 1/18/2018 11:00 PM        , 2.7     
 , 1/18/2018 24:00 AM        , 2.9     
 , 1/19/2018 1:00 AM         , 2.6     
 , 1/19/2018 2:00 AM         , 2.7     
 , 1/19/2018 3:00 AM         , 3.3     
 , 1/19/2018 4:00 AM         , 6.0     
 , 1/19/2018 5:00 AM         , 2.4     
 , 1/19/2018 6:00 AM         , 2.2     
 , 1/19/2018 7:00 AM         , 1.9     
 , 1/19/2018 8:00 AM         , 2.5     
 , 1/19/2018 9:00 AM         , 2.7     
 , 1/19/2018 10:00 AM        , 3.6     
 , 1/19/2018 11:00 AM        , 3.2     
 , 1/19/2018 12:00 PM        , 1.8     
 , 1/19/2018 1:00 PM         , 1.9     
 , 1/19/2018 2:00 PM         , 2.0     
 , 1/19/2018 3:00 PM         , 1.3     
 , 1/19/2018 4:00 PM         , 1.7     
 , 1/19/2018 5:00 PM         , 5.1     
 , 1/19/2018 6:00 PM         , 7.0     
 , 1/19/2018 7:00 PM         , 6.9     
 , 1/19/2018 8:00 PM         , 12.6    
 , 1/19/2018 9:00 PM         , 16.1    
 , 1/19/2018 10:00 PM        , 15.1    
 , 1/19/2018 11:00 PM        , 23.9    
 , 1/19/2018 24:00 AM        , 31.1    
 , 1/20/2018 1:00 AM         , 35.0    
 , 1/20/2018 2:00 AM         , 31.4    
 , 1/20/2018 3:00 AM         , 20.4    
 , 1/20/2018 4:00 AM         , 12.8    
 , 1/20/2018 5:00 AM         , 9.6     
 , 1/20/2018 6:00 AM         , 15.3    
 , 1/20/2018 7:00 AM         , 11.4    
 , 1/20/2018 8:00 AM         , 13.9    
 , 1/20/2018 9:00 AM         , 13.5    
 , 1/20/2018 10:00 AM        , 9.1     
 , 1/20/2018 11:00 AM        , 4.3     
 , 1/20/2018 12:00 PM        , 2.2     
 , 1/20/2018 1:00 PM         , 2.2     
 , 1/20/2018 2:00 PM         , 2.6     
 , 1/20/2018 3:00 PM         , 1.4     
 , 1/20/2018 4:00 PM         , 1.0     
 , 1/20/2018 5:00 PM         , 3.1     
 , 1/20/2018 6:00 PM         , 6.6     
 , 1/20/2018 7:00 PM         , 16.3    
 , 1/20/2018 8:00 PM         , 15.2    
 , 1/20/2018 9:00 PM         , 13.6    
 , 1/20/2018 10:00 PM        , 15.5    
 , 1/20/2018 11:00 PM        , 14.5    
 , 1/20/2018 24:00 AM        , 13.6    
 , 1/21/2018 1:00 AM         , 13.3    
